0,,Free,Name,Jumpdoc,Chapter,Description
1196,,600,Charles Patricius,Fate/Extella,Domain,"The flying fortress of a dream-like hero, hovering softly before you. A mix between a base camp and a high tech airship, Charles Patricius is capable of moving at very high speeds, flying around the virtual world to easily reach any zone in minutes. It’s difficult to detect even with powerful sensors and well protected by magical shielding. The top of the fortress is an open garden, where three sizeable buildings rest. A personal room for the owner or leader to rest and conduct magic in, a War Room that significantly increases the strategic aptitude of those within and a large dormitory able to comfortably house several dozen Servants or other warriors. The fortress generates it’s own fuel and supplies, letting those riding live in comfort without worries. 

An additional secret has also been found, passed down from the more mature Carolus Patricius. A Fascimile Servant Generator, able to create shadowy and obedient copies of Servants that you bring into the generator room for scanning. It requires large amounts of magical energy to operate but most Servants would be able to support a ghost being created each day, with powerful ones allowing for several. The copies are significantly weaker than the actual originals but much stronger than ordinary attack programs.

If you also purchase Personal District, you can instead combine it with this option to upgrade it to the scale of Carolus Patricius, the fortress of Karl der Groebe. The flying fortress gains the scale and defences of the personal district, becoming a city sized flying monstrosity covered in artillery guns and containing a small army of defenders. A second Servant Generator is added if this is the case, along with an impressively large throne room and intrusively long staircase to said throne room."
1197,,600,That’s Not How Math Works,FateExtra CCC,Domain,"Imaginary Number space is quite the strange thing. It has nothing to do with the mathematical concept of imaginary numbers (who knows why it’s named that), but rather you can think of it as the ‘space’ outside of reality itself, in a manner of speaking. It is not truly nothingness, but maybe a better metaphor would be to consider it the garbage dump of existence. Well, however you wish to picture it, you now have access to it in some way. Whether by walking through a specially prepared door, teleporting there, or something else, it’s your choice of how you access it.

Within Imaginary Number space you can find things that were lost. Unwoven, obliterated, sealed at the farthest reaches of existence, erased completely from reality, or perhaps even those who die without an afterlife to head to when they pass on. Should you manage to navigate this seemingly uniformly purple and dull place, you’ll be able to find things that would otherwise never have been regained or recovered. You are likely going to need some form of ability or program to detect, identify, and lead you to your objective, as space and time are a little weird here, but with enough preparation you’ll be able to find anything that is truly lost, and bring it back to reality with you. Beware of the terrible things that lurk at the edges of this space."
1198,,600,Labyrinth Creation,Fate/Extra,Domain ,"The Moon Cell creates entire Reality Marbles to simulate each area in the Grail War, including the Lunar Seas where Servant Battles take place. While you're not able to replicate this incredible feat, you can being to create Lunar Sea like pockets of your own. While you can always decide the general theme to the dungeon and it's enemies, at first, these will be small dungeons, perhaps only a dozen rooms and connecting hallways, and filled with weak fodder that will only drop cheap items. As you grow more experienced, all these parameters will expand. Eventually you could create grand labyrinths with multiple floors and dozens of rooms a piece, enemies will grow in strength and their item drops will increase to match. You do not have any more control over this however, at most you may simply choose the general size and strength of each dungeon, nor will the enemies within ignore you."
1199,,600,Devil Mountain,Fate/Legends - The land of The Rising Sun,Domain ,"A fitful home for any barbaric demon lord. This massive mountain is a place of supernatural power, calling Oni and youkai to it in droves. Towering unnaturally higher, it is constantly wreathed in dangerous weather and filled with supernatural, lethal plants and animals to make approach all the more deadly. Home to a loyal but rowdy band of Oni one thousand strong, it is also the site of a personal palace of pleasures for yourself. A huge temple converted into a den of debauchery waits for you near the peak, filled with any lurid desire you could hope to fulfill. Most of your powerful tribe of Oni spend their time here, drunk and feasting and fighting. The mountain’s terrors don’t bother you or the tribe, making it easy to defend, and the Oni are all too happy to accompany you down the mountain for raids on humans or anyone else that can give a good fight. A intelligent and fiery Oni with blonde hair manages the tribe when you are away, too drunk to care or just not interested, trying to keep them on a track you’d approve of. The mountain will appear in future worlds, becoming ever more dangerous to intruders as it adds more natural hazards to it’s terrain."
1200,,600,Shrine of Love,Fate/Legends - The land of The Rising Sun,Domain ,"Among the largest and most impressive holy sites across Japan is this temple, located some distance
away from where you begin. Concealed by nature and difficult paths for those who don’t know
where to tread, this large temple is a site of great devotion to your chosen religion or gods. Holy
rites would doubtlessly be far more powerful here and the imbued faith has erected many powerful
wards across the complex, enough that even Shuten Douji or another great Youkai would take many
days to breach with force. The abundant nature surrounding the shrine provides more than enough
food and water to make long term accommodation comfortable.
 
The temple has the curious property of allowing certain friendly supernatural beings through these
protections now and then. Now and then, you may wake up one day to find visitors, strange creatures from across Japan that have great power and a very favourable disposition to you. Often
seeking a quiet home to stay in, they make for easy allies. First for protecting the new home should
you allow them to stay and quickly in aiding you personally, as they appear quite eager to bond and
make friends. These magical beings have a strange tendency to be attractive members of a sex that
you prefer as well, which is probably just a coincidence. Those longing looks, deep blushes and
constant remarks on how they will protect you from anyone no matter what they have to do are all
the signs of a good friend."
1201,,600,Dun Scaith,Fate/Legends - Land of Shadows,Domain,"A dark land, one where monsters roam and the great hermits that grew beyond the mortal world
have come to call home. The Land of Shadows has granted access to you and unlike many of it’s
inhabitants, you may come and go as you please. You posses an enormous castle in this sunless
dimension, one the size of a small city in the world of mortals. Not that anyone else lives there but it makes for an impressive home. There are many strange beings in this land that unlike normal, avoid
you unless you go looking for them. Mighty beasts with which to hone your skills and power against, ancient and immortal hermits with almost no end to the skills and knowledge they could dispense
should you prove an interesting disciple. Perhaps even a travelling partner could be found here, a
woman who seeks something to spice up her life after so many years of only wanting it all to end. For a supposedly dead land, there are many great resources to be found. Additionally, you also have
the ability to summon the Gate of Skye, a massive ghostly projection that leads to and from the Land
of Shadows. Unless they come with your permission, being in the presence of this Gate when it
opens is a terrible idea, as it sucks away the life force of those caught in it’s vicinity in just seconds, requiring immense magical energy reserves or supernatural luck to avoid such a thing happening. This cannot be imported into. The occupants, monsters and people, of this land are new in each
world, fitting to where you find yourself."
1202,,600,Crystal Palace,Fate/Legends - Vive la France,Domain,"It’s not every day that even a high class noble comes upon a home as gorgeous as your home. The
Crystal Palace, named for the British creation of later years, is a sprawling mansion estate in one of
the more lush regions of France, finding equal chance at warm summers and wet winters. The
mansion itself could easily house hundreds of guests in luxurious comfort, along with the horde of
servants that currently make their homes here in service to the estate and yourself. They’re needed
for certain, as beyond the palace is a massive garden and hunting range. There are even
supernatural benefits, as your presence in this palace will see a enormous increase to all of your
parameters, from the physical to the magical, while you are present. This options true use comes about from what you can do while outside of it, however. At any time, you are able to call upon the spirit of your home and fashion a dress or outfit for yourself based on
the property. This dress holds powers drawing from your property, not just allowing you to benefit
from counting as being within the home but gaining new powers, such as manifesting crystal
weaponry to damage foes and spread your statistic increases to your allies. Should you import
something into this or import this into something later, you’ll find the dress mode will update to
properly represent your current Crystal Palace.

Additionally, though it can be turned down nor or in future times considering the state of the
revolution later on, the ownership of this palace can confer a royal title on your person. Whether it
be as a princess or as the actual queen of the country you find yourself in should it be currently
lacking, it’ll be a position that is either by birthright or royal adoption. Such titles will be available to
you in future worlds, under the same conditions."
1203,,600,Wizard’s Tower,Fate/Legends - Garden of Avalon,Domain,"Avalon is the land of the fairies, an almost unreachable realm that has only seen a handful of human, partially or fully, visitors in all of time. Within Avalon, there can be found smaller realms, such as the one that Merlin will eventually come to be imprisoned within. The realm you find yourself with
access to is similar to that realm but does not imprison you. This place, a small dimension measuring a few miles across, is filled with a field of gorgeous flowers. In the centre of the dimension is a tall wizard’s tower. There are many rooms, workshops and laboratories within this tower, filled with extremely rare materials, resources, reagents and magical curios, as well as a fair few creature comforts and luxuries. Many of these resources will replenish in time too. There are even a great deal of books written on various magical subjects, some by Merlin himself and some by those much older than even him. You may enter this realm with just a thought, through all but the most powerful and thorough of preventions against dimensional travel, and exit out into any location without those most powerful protections. While others can potentially invade your dimension should they find out about it, the tower realm has protections against invasion on a similar level to the sheath Avalon does when activated."
1204,,600,King In Your Own Right,Fate/Legends - Empires of Antiquity,Domain,"You’ve taken charge of your own kingdom in full. While it may not be an equal for mighty Rome, it is no backwater kingdom either. You rule over a sizeable, wealthy and fairly powerful kingdom, one similar to the more powerful states of Greece or a smaller district of the Roman Empire. Your kingdom has a high propensity for bringing about heroes of varying levels as well, more often than not ones quite loyal to your kingdom. Someone like Heracles isn't likely to show up more than once a few generations but lesser heroes are quite common. While small now, the kingdom may be expanded and improved through your efforts and will retain those changes as you bring it forward to new worlds, where it will slot in to the world, fitting into history or appearing from nowhere."
1205,,600,The Holy Church ,Lord El-Melloi Case Files,Domain,"The Holy Church is the supernatural underbelly of the Roman Catholic Church, utilizing holy mysteries and to a lesser extent magecraft to both protect humanity and support their mundane counterparts. In case you feel the need to bring them with you, the Holy Church can be made to follow you into future worlds. In modern jumps it simply integrates itself into the Catholic Church of that world. In jumps where there is no Catholic Church one will appear retroactively as a major world religion. Members and holy items will take on local forms, identities, moralities, and magical or holy abilities, if applicable, though you may instead import them in their original forms if you desire. These are followers, not companions, so individuals do not carry over from world to world. The Church will never become hostile towards you unless you give them legitimate reason to, and they’ll even ignore less legitimate reasons to dislike you, like you using magecraft or not being a Catholic, as applicable. They are also extremely willing to help root out unholy and demonic creatures of the night to defend humanity. For 800 CP instead, you are considered an important and trustworthy member and leader of the Church, though if you try to do something directly contrary to their mission like wipe out humanity or kill God (without first convincing them it is not truly God but an imposter) they will side against you."
1206,,600,Lostbelt King,Lord El-Melloi Case Files,Domain,"Wait, what? How did - nevermind. I’m sure Dr Heartless will be glad to have you on board, because it seems you have somehow circumvented one of the dangers of actually changing the world in this setting, specifically that the Quantum Time-Lock and Pruning Phenomenon may decide that your timeline is outside of acceptable boundaries, and eventually delete it entirely. You don’t need to worry about it, because you have a power no one else does: when your timeline is about to be erased, altered, or deleted, a sort of mystical alarm goes off in your mind, at least a day in advance, and you may declare yourself - or a major or defining figure of the timeline a the timeline’s “king.” Upon doing so, the timeline is henceforth a “Lostbelt,” over which the king gains a sort of Divine Authority. So long the Lostbelt’s king remains within it, and alive (or alive-adjacent) it will persist, any problems caused by its mere existence will simply not occur, and any attempt to alter it will simply result in additional timelines spawning. Departing for a new jump or Going Home does not count as leaving, and post-Spark, you no longer need to remain within your claimed timelines to preserve them. In the case of competing claims, the more defining figure of the timelines or the most mystically powerful becomes king."
1207,,600,Brunestud ,Tsukihime,Domain,"Crimson Moon Brunestud. The Ultimate One of the Moon, who made a pact with Gaia in order to create a race - the True Ancestors - to corral humanity. But this luminous being had its own agenda, wanting to make a suitable vessel able to exist within Gaia’s laws and possessed enough purity for it to take over and then enact his own will upon the world. There are three suitable vessels on the planet - Arcueid Brunestud, Altrouge Brunestud… and you. Whether your body had enough ‘purity’ for Crimson Moon to consider as a candidate for being their vessel or you were some misbegotten attempt at replicating the True Ancestors, a ‘fragment’ of Crimson Moon exists within your soul. However,unlike the others, this fragment holds no particular sentience or power over you, and is only a small piece of what Crimson Moon’s power would be.

First, you are able to manifest a copy of Millennium Castle Brunestud, a piece of Type-Moon’s Reality Marble where his influence is the strongest, at will (curiously, even if you lack MarblePhantasm) and dwell within it. You may change the interior of the castle to your will, making anything from a luxurious manor to an eldritch hell only a monster could find comfortable. Your connection also causes your power, even those not tied to your nature as a True Ancestor, to wax and wane with the phases of the moon - during the night of a new moon, there is no change, but during a full moon, your strength and powers are magnified several times over. And when you dwell within the Castle itself, your power is always at its peak from this boost, functioning the same as the night of a full moon. An ordinary human (as miraculous as it maybe) with this could lift a tank one-handed on the night of a full moon. The might of a True Ancestor is likewise increased even further than before in the light of the moon, letting you outmatch others of your kind save for your two ‘siblings’. Perhaps in a few centuries, this fragment’ could grow into something matching the original...though that night is far, far away.

If you prefer a more...’talkative’ source of power, you may take the exclusive companion for this perk ‘The Moon’s Shadow’ for free.
"
1208,,600,Living Workshop ,Kara no Kyokai,Domain,"A workshop to make any Magus peer of yours jealous but combined with something much more valuable, at least to the less scrupulous Magi. You own a sizable building, likely a large apartment complex or mansion or mall of some kind. The main requirement is that it has space for a large number of people to live, or at least be stored. This is because that is the case, with up to 64 families living in the location at once. If they are not kept as cattle outright, the people here will be none the wiser as to what is going on. With the many secret rooms present in the building, it’s easy to hide whatever you desire to do to them, and the building itself has some sort of effect that makes any resident extremely reluctant to leave and very easy to mould as you please. 

But the second and more valuable step to this is that the entire structure is your workshop as a Magus. The most immediate effect is that, due to incredibly unique enchantments and links to you, you are able to instantly teleport anywhere within the building and retain a near-omniscient awareness of all space and events within it. In at least one of the secret rooms of the building, if not several, you will find a fully equipped Magus Workshop of great value to a Magus of your skill and specific specialties. The tools, reagents, materials, peer research if any exists and more will be found. While rare consumable materials will be understandably rare and truly exceptional things for your level will not appear, the Workshop will slowly grow as your mastery of magecraft does and slowly resupply whatever might be used up that the Workshop itself spawns through this option.
"
1209,,600,New Agency ,Kara no Kyokai,Domain,"What is there for those who have no interest in reaching the Root, who look at the goal of all Magi and think it’s just a big waste of time? There’s money. Turning magecraft to mundane profit can be quite lucrative, as can be said for psychic powers or unnatural talents. You have a business of some sort that’s well suited towards your particular talents in this jump or will come into the ownership of one in adulthood. It’s already got a building to itself, some four storey and relatively well furnished if dusty location. A storeroom, a nice office and space for workshops if you have the time to set one up. It might be a private investigator agency, a mercenary outfit, an ancient antique shop or a exotic animal store. What makes the business special is the employees, rather than the location itself. The business naturally attracts employees in situations that have great need of employment outside of the usual channels. More importantly, they often have quite unique abilities. Usually moderately powerful psychic abilities, Demon Hunter heritage or even lesser non-human creatures like a few fairies that spy on others in exchange for sweets. Every few years, you’ll be able to take on a more valuable ally. Someone with a powerful pair of mystic eyes, a Dead Apostle that wants to live among humans or some other powerful entity. They’re easy to get along with and gain the loyalty of, potentially even coming along with this business as followers if you can gain their trust and devotion.

If you merely desire an ordinary business without the penchant for attracting unnatural allies, you can buy one that otherwise works the same as the above for 300CP instead, still discounted to students.
"
1210,,600,That Did Not Happen ,Generic Magical Girl,Domain,"With a supreme effort of will on your part, you can use your power to prevent the damage caused by battles with the forces of evil – by locking the battle into a barrier field where the damage won't affect the outside world. Once you've defeated the enemy, you can release your barrier and the world will revert to what it was before. Normal people will be sealed outside the barrier, and won't notice anything going on inside, but people with magical abilities or powers may be able to walk right into it, suddenly finding themselves in the middle of a war zone. Also, be careful - if you lose the fight, your barrier will collapse, and all of the damage will suddenly appear in the real world. Typical barriers start out around the size of a football field, but with practice you can probably get them to cover a square mile or more. 
"
1211,,600,Tower of Fate ,DC Occult,Domain,"A replica of the Tower of Fate reserved for use by the eponymous Doctor Fate. This tower is as big as it needs to be and rests outside of the bounds of the multiverse. If all of creation were to be cast into oblivion or warped into a sea of chaos, this tower would remain untouched. Only you and those you welcome inside may enter and any inside may be ejected at your leisure. While you are inside the Tower, your power is amplified many times over. Even as a normal mage this would be enough to allow workings of magic comparable to Doctor Fate himself.

You may choose to have this tower manifest inside any dimensions or pocket realms you own, which also allows you to take advantage of the tower's benefits in a radius around the tower.
"
1212,,600,Library of Eternity ,DC Occult,Domain,"​An incredible enchanted library is added onto your warehouse. This library is an artifact of immense value that was long thought to only exist within myth and legend, for within it is all the knowledge of mankind. This infinite library will absorb all written knowledge in every jump that you visit. The only exception to this are singularly unique and important books such as the Book of Eternity or the Necromicon. Of course, you’ll have to find the books you want to read, first. Luckily if you enter the library with a specific topic in mind you’ll tend to find yourself in the right area with only a few minutes wandering around.
"
1213,,600,The House of Mystery ,Justice League Dark,Domain,"This mansion, appearing as a relatively normal large house from the outside, has existed in some form or another for at least as long as mankind. On the inside, it is much larger than the outer appearance would suggest – how large? That is unknown; perhaps it’s infinitely so. – and constantly shifts to accommodate your Desires.

But that isn’t what makes this house truly special, nor is it the fact that it is filled with entire societies, or that it is alive and bound to you. No, what makes this house truly unique and of singular value is that it is a crossroads of reality. The House is connected to every single point in space and time and this gives it the ability to slip between the layers of reality and appear anywhere you wish, be it a planet on the other side of the great black beyond or another dimension altogether. There are few places the house cannot go and it'll be all too happy to do So.

The final noteworthy abilities that the House possesses is that it can be summoned to your location with nothing but a mental call and that in a similar way, anyone who accepts your invitation into the House can be summoned back into it at any time you wish. Couple more things worth mentioning: this house cannot be permanently wrested from you; your bond may be temporarily blocked to prevent you from summoning it, but no one else can usurp it and you may allow inactive companions to roam inside of it.
"
1214,,600,Shadow Jumper’s Trinket​ ,The Gods Are Bastards,Domain,"The magic system of Shadow is currently inaccessible except through indirect methods, such as through infernal magic. This trinket bypasses such requirements, allowing you to directly access Shadow magic and thus “Shadow Jump”, teleporting impressive distances by wrapping the shadows around you. Uniquely, this form of teleportation will be completely untraceable, as the more common methods of accessing Shadow Magic do so indirectly, leaving the signs of the magic used to access it."
1215,,600,Temple,Warhammer Fantasy: Amazons,Domain,"One of the great Amazonian temples has come into your possession, either rightfully as a Priestess or by right of discovery out in the wilds if you are not a Priestess. The Temples are mighty fortresses, easy to defend and equipped with many magical defences. However, the real draw of them is the treasures contained within. These temples hold great arcane secrets and technologies, from tomes describing some of the greatest spells and lores of this world to ancient weapons capable of slaying even the mightiest beasts of the jungle in a single shot. Many of these artefacts may be difficult to figure out the uses of, as there are hardly any instructions lying around, but almost all are useful, powerful or important. In future worlds, your temple will appear in a location of your choice or an isolated place in the wilds, holding similarly old, important and powerful magic or technological marvels.
"
1216,,600,Crystal of the Floating Isles ,Dog Days,Domain,"A large blue gem which can be used to make a portion of land float up high in the sky when implanted in the ground. Over the course of a year, a second one will grow out from the first implanted one, letting you slowly increase the number of floating isles. Each crystal can float an island of diameters around 500 meters. Each additional one planted will increase this size by the same volume.
"
1217,,600,Rejection of the Supernatural ,Golden Sky Stories,Domain,"There’s a difference between seeing the paranormal and accepting the paranormal, and for some people, they would much rather forget the paranormal once seen rather than accept it as a part of reality. Perhaps you are amongst these people – an individual who would rather have peace and quiet than ghosts and magic.

At will, you can manifest your wilful ignorance into a field around you, and both magical and supernatural phenomena will occur at a distinctively reduced frequency – if it occurs at all. Don’t want ghosts haunting your house? Just pop that field up and banish them away. Granted, this ability won’t work as well in a world where magic or supernatural entities are a norm – but at least it does afford you a substantial level of magic resistance!
"
1218,,600,The Scarlet Devil Mansion ,Touhou Project: Forbidden Hermit,Domain,"You have a mansion of your own, though potentially a very empty one. It’s designed in a very Western style, standing out from the mostly traditional Japanese structures around here. It contains a good supply of fine china and silverware, as well as a solid wall around it and a good supply of ever-fresh tea leaves. The most valuable part, however, is the library within, which contains a vast quantity of grimoires, books from the Outside World, and magical tomes in general. Unfortunately, many of them are sealed and in encoded languages – to unlock and decipher them would be a full-time job on its own.
"
1219,,600,Eintei ,Touhou Project: Forbidden Hermit,Domain,"You have a cosy dwelling out of the way in a bamboo forest, that you may customise the aesthetics of. It’s warded by all kinds of protective spells that will ensure all but the most powerful people will simply manage to pass it by, unless you specifically wish to let them in. Additionally, for some reason, youkai rabbits seem to keep popping up here somehow.
"
1220,,600,A Secret World ,Touhou Project: Forbidden Hermit,Domain,"You have an entire small alternate dimension to customise and play around in. By default, it takes on the form of a featureless blank void stretching across an area the size of a small village, though you can reshape it according to your whims, perhaps turning it into a nice house. Additionally, you can create doors leading into it nearly anywhere, as long as it is on the back of something such as someone’s back, the back of a statue, and similar backs."
1221,,600,Dreams of Neverland* ,Peter Pan,Domain,"The Neverland is composed of the dreams of countless children, but the certain island you are on is primarily driven by Peter Pan, with other dreams being filtered into the mix time-to-time. Within this jump, you have the ability to pull the visions of dreamers closer to the island, until their imaginations blend to become an extra addition to the island. In any following jumps, you can create a new “Never Land” hub for dreams in that world, allowing the imaginations of children and the like of that universe to coalesce together into an island. However, each dream world is bound to the universe of that jump, and it must stay behind when you go. Also, while you can be selective on which dreams are the key pieces of the island, you cannot apply your own dreams to the Never Lands. Moreover, the dreams that embody the island are limited to those of childish whimsy, meaning that the creations can be somewhat limited, at least by grown-up expectations. That doesn’t mean that the magic in the dreams aren’t powerful or that conflict there is harmless, but rather that “cool” and “fun” matter more than overall effectiveness. So good luck trying to actually make productive use of that dream about an awesome superweapon...you’re going to need it. Plus, it’s typically harder to impose these dreams outside of your little Neverland hub. If you took the Escort for the Innocent Dead perk, you can guide dead souls into the dream worlds – whether Neverland or a new one of your creation and reincarnate them in a form of your choice in that world; once they have been reincarnated, they are now essentially in between life and death, so they could stay in the dream forever, go to the real world and potentially die eventually under normal circumstances, or eventually let go and pass on to the next life like they were originally meant to.
"
1222,,600,Fabricated World ,Ib,Domain,"Even if you give life to your artworks, they still do not have a place in the world of the real. By sacrificing part of your life, you can create a full-fledged gallery, an elaborate dungeon where all of your living masterpieces can live forever, along with anything trapped inside. Your artworks now exist on two planes: in the real world as inanimate objects, and in another world as living things. The paintings in the real world act as windows of sorts for their living counterparts in the other world, but they cannot physically interact with the real world. The real and unreal are bridged through a special painting, the Fabricated World, which can appear and disappear anywhere in the real gallery at your command; whenever someone stares deep and long enough at the tapestry, you can pull him or her into your other world. Within your painted world, you can give life to your artwork (even without Paint to Life) and use their full magic potential without needing to drain your own reserves (as long as they stay inside the Fabricated World). If you purchased Claimed for Posterity, any person who dies inside the gallery will automatically turn into another of your artworks. These galleries are self-sustaining once you pour in the initial energy. The galleries you create will link together and follow you between jumps and are accessible from your Warehouse when not summoned; you can also continue to add new pieces to and remodel your old galleries as you see fit. You can allow yourself to dissolve and merge into the gallery as a whole to control it at will, place special messages on wall or paper, and exist in that fragmented yet all-seeing state indefinitely; however, you are able to regather yourself and return to normal when you wish. If you fuse your soul to the gallery, you may be able to find ways to apply other powers you have to the form of the dungeon – for example, if you had some sort of control over fire you could perhaps make your gallery’s features resistant to fire or keep the gallery permanently on fire without any of your creations being harmed."
1223,,600,Panthalassa Castle ,Mermaid Melody Pichi Pichi Pitch,Domain,"A replica of Panthalassa’s mansion-like castle. It can travel freely through the ocean, and can vanish into shadows to escape pursuit. The interior is naturally flooded with water, but is enchanted such that air-breathers such as humans can safely live inside; in fact, while you can freely swim about if you wish, it is simultaneously and selectively free of water’s negative effects, to the point that you can eat at a table, bathe in a spa, or even read books in the included library. It can also come to the surface when necessary.
"
1224,,600,House Parent ,Neverland: The RPG,Domain,"You can now stimulate and manage the “growing” of houses you own/live in. At the very least, you can make it so that the building will gradually grow in size over time. Not only will the overall size of the house change, but individual rooms will also grow in size, with internal fixtures like beds increasing in size as well along with gaining additional decorations like extra furniture and nightstands. If they grow long enough, they might even gain entirely new rooms – or entire extra floors. But if you don’t want your house to grow too big, you can instruct it to stop growing (which will halt further growth). Alternately, you can direct it to grow in one main direction such as upward (whether as a tower or as part of a massive tree). In addition, by treating the house the way you would your child, you can teach the home new tricks. Over time, with enough love and care, your home might even gain a sense of devotion towards you, making it hard for your enemies to use the structure against you. Once your house has been influenced by this perk long enough, it can even move about. Maybe eventually your house will in turn become a parent with children of its own, even?
"
1225,,600,Whirlpool Magic ,Neverland: The RPG,Domain,"You can create and enchant whirlpools to become portals between other whirlpools. You can manifest whirlpools anywhere. If you enchant a single whirlpool, it will just take you to the closest random whirlpool in the area, but if you have enchanted multiple whirlpools, you can link them together for specific portals. While you can safely travel through these whirlpools, others lacking strong swimming skills will likely be torn to pieces before they even get through the portal – and then there’s the matter of escaping the second whirlpool on the other side. You can also enchant other forms of water to varying effects, like making a waterfall become a solid wall that unfurls like a curtain when you wish to pass, or enchanting rain to cause sleep, forgetfulness, or wild dancing.
"
1226,,600,Amber Hill ,Warhammer Fantasy: Imperial Colleges of Magic,Domain,"Somewhere, out in the untamed wilds, there is a hill surrounded by bounty. A small stream runs around the north side of the hill, and a small cavern bores into the south face. Wild game appears in numbers that never seem to truly vanish, and berry-laden bushes grow all about the hillside. Ducks, frogs, and small fish fill the stream, ensuring an ample supply of food from those pristine waters. The cavern is adequate shelter against all but the fiercest storms. Here, you will have no need for the trappings of civilization at all, in this world or any other that the hill follows you to. The whipping of Ghur in this wild place is especially strong, ensuring extensive fuel for your spells. This is your domain, Amber Wizard. Defend it well.
"
1227,,600,Charnel House ,Warhammer Fantasy: Imperial Colleges of Magic,Domain,"Shyish blows furiously over this acre of graveyard earth, but in an interesting way. The art of Necromancy is practiced by using Shyish as a pair of ‘tongs’ to grasp at Dhar - but the Wind of Death refuses the touch of Necromancy in this place, even tearing the animating energy away from whatever mindless undead dare to enter. Perhaps it makes sense, given your Order’s strongly implied ties to the Cult of Morr, but the dead you bury here will be utterly beyond the reach of Nagash’s vile sorceries. In addition, it seems that you will never quite run out of earth in which to bury a corpse, as the soil and Shyish absorb the oldest bodies entirely to make room. Preserve the sanctity of the grave, Amethyst Magister."
1228,,600,Incinerator ,Warhammer Fantasy: Imperial Colleges of Magic,Domain,"This is an unusual construction, perhaps the work of a single mage. This building (and a small courtyard surrounding it) looks to all the world like an overgrown oven and chimney, but it may prove useful to you. Aqshy blows hot wherever there is fire or wherever there is passion and excitement. While the flames within the oven burn pleasantly hot in even the coldest weather so long as they’re fed, they also seem to inflame the emotions of those in the courtyard. This can turn disagreements into arguments or longing looks into a kiss, but the important thing is that the structure is thus perfectly designed to attract and channel the Red Wind. If you wanted more firepower, here you are."
1229,,600,Observatory ,Warhammer Fantasy: Imperial Colleges of Magic,Domain,"Even in an age where the accurate observation of the heavens is commonplace, Azyr’s power would ensure that this observatory will be the envy of stargazers the world over. Likely situated atop a high mountain, its telescope functions through the power of the Wind of the Heavens, such that you could peer closely at even the most distant visible stars without impediment where such feats would normally require a telescope situated outside of the atmosphere. Furthermore, while within this observatory, you may more easily direct your visions of the future. Even an Apprentice in this tower would be able to narrow a vision of future events down to a specific type of event rather than seeing something unrelated. Choosing to direct your vision so will only fail if the vision you would otherwise have is truly urgent; an attempt on your own life, for instance. Finally, as a practical concern, this observatory is a working wizard’s tower in other respects, containing rooms for storage of food and arcane supplies, a bookshelf or two to keep your findings organized, and a small amount of living space for you and any apprentices you have brought with you.
"
1230,,600,Workshop ,Warhammer Fantasy: Imperial Colleges of Magic,Domain,"Either your Patriarch already has such a workshop as this, or he would kill to get his hands on one. Chamon is attracted to metal, especially gold, and so atop a vein of gold that never quite seems to run dry you have erected an alchemical laboratory and forge. Every batch of black powder or blade you produce within this workshop is infused with raw Chamon pulled through the very air into your hands as you work. Any enchantments you lay upon the new work draw even more of the Gold Wind into your creations, ensuring that every spearpoint and cuirass is of the highest quality. If nothing else, remember that an actual gold mine rests beneath your workshop, easily accessed and ripe for the harvesting. Let the State Troops provide their own Faith, yes, but for Steel and Gunpowder they would be wise to come to you. Of course, this workshop will follow you wherever you go."
1231,,600,Phantom Tower ,Warhammer Fantasy: Imperial Colleges of Magic,Domain,"So you have followed in Algard’s footsteps, have you? Very well. This gray tower is, at first, unassuming for a Wizard’s tower. To you, at least, there may be nothing special about it at all, besides acting as a vertical storage space for whatever you might fit inside. However, the structure itself seems to be absolutely saturated with Ulgu, to the point that without your seeking it, the tower becomes insubstantial, fading from reality entirely. Whenever you deign to locate it, it is precisely where you need it to be. Whenever you do not need to access it, it simply does not exist at all. This trait extends to anything you store inside, but only so long as it is stored inside. Do be careful if you intend to build anything around a core that exists less often than that which is attached to it.
"
1232,,600,Henge ,Warhammer Fantasy: Imperial Colleges of Magic,Domain,"You now know the location of a powerful artifact. This ancient circle of Waystones focuses the power of Ghyran to a startling extent. As overgrown with vines as the stones are, the ages will not fell them. More than that, the growth of plant and animal life near the henge is accelerated and improved, causing even barren wastelands to become lush and fertile. This ogham, and the small grove it sits in, is now under your protection. Do not be surprised if this circle begins to spread life outward from itself in even the most blasted lands.
"
1233,,600,Pyramid Vault ,Warhammer Fantasy: Imperial Colleges of Magic,Domain,"Hello, warden. This pyramid is quite special, you see. Staffed by an entire choir of Apprentices and laden with heavy spells of Hysh, this pyramid is a smaller replica of the very structure of your home College. It has but one purpose: to focus the Wind of Light and trap a horrifying power. The Daemon locked within the deepest chamber of this pyramid is guaranteed not to escape without aid. Such a horror may provide useful information while imprisoned. You will find soon enough, especially as the prison follows you, that the trapped Daemon is somewhat versed in the weaknesses of whatever Daemons you may face in your time here. You will also notice an empty cell next to it. This cell will adapt itself to contain any extradimensional entity you defeat and seal within, and it will in turn be compelled to volunteer you information useful in fighting others of its kind. For each Daemon or similar creature you trap, a new cell will open.
"
